#,Company name,Symbol,Price (USD),Market cap (In millions),Sector,Provided by GlobeFunder.com
355,Cadence Bancorp,CADE,$23.89,"$4,358.60",Finance,
356,CAE,CAE,$19.41,"$6,178.67",Technology,
357,ConAgra Foods,CAG,$38.01,"$18,216.48",Food Production,
358,Cardinal Health,CAH,$79.28,"$20,781.98",Healthcare,
359,Canon,CAJ,$22.18,"$4,061,308.34",Cameras & Printers,
360,The Cheesecake Factory,CAKE,$32.44,"$1,668.07",Restaurant Chain,
361,Caleres,CAL,$19.62,$698.79,Footwear,
362,Calix,CALX,$70.01,"$4,581.54",Software,
363,Cano Health,CANO,$1.21,$598.33,Healthcare,
364,Avis Budget Group,CAR,$177.04,"$7,341.21",Car Rentals,
365,CarGurus,CARG,$13.83,"$1,644.88",Technology,
366,Carrier Global Corp,CARR,$41.75,"$34,913.91",HVAC Systems,
367,Cars.com,CARS,$13.90,$925.88,Car Dealership,
368,Casey's General Stores,CASY,$240.10,"$8,945.79",Retail,
369,Caterpillar,CAT,$232.72,"$121,109.63",Construction,
370,Cathay General Bancorp,CATY,$39.96,"$2,973.57",Banking,
371,Chubb,CB,$211.68,"$87,857.82",Insurance,
372,CBL & Associates Properties,CBL,$24.58,$782.48,REIT,
373,CBOE Holdings,CBOE,$124.02,"$13,156.30",Exchange,
374,CBRE Group,CBRE,$75.80,"$23,948.89",Real Estate,
375,Cracker Barrel Old Country Store,CBRL,$97.33,"$2,160.84",Restaurant chain,
376,Commerce Bancshares,CBSH,$64.70,"$8,108.22",Financial Services,
377,Cabot Corporation,CBT,$67.02,"$3,775.16",Basic Materials,
378,Community Bank System,CBU,$59.92,"$3,219.76",Financials,
379,"Chemours Company, The",CC,$30.77,"$4,643.74",Chemicals Production,
380,C4 Therapeutics,CCCC,$7.36,$360.32,Biotechnology,
381,CCC Intelligent Solutions,CCCS,#N/A,#N/A,SaaS provider,
382,Crown Castle,CCI,$134.77,"$58,361.88",Communication,
383,Crown Holdings,CCK,$80.50,"$9,655.66",Packaging,
384,Carnival,CCL,$8.45,"$10,500.79",Travel Agency,
385,Cogent Communications Holdings,CCOI,$55.04,"$2,642.47",Internet provider,
386,Cross Country Healthcare Inc,CCRN,$27.18,"$1,013.69",Healthcare,
387,Century Communities Inc,CCS,$53.36,"$1,695.37",Real estate,
388,Ceridian HCM Holding,CDAY,$63.89,"$9,813.18",Software,
389,Coeur Mining,CDE,$3.27,$918.67,Metals Mining,
390,Cardlytics,CDLX,$5.60,$185.73,Advertising,
391,Avid Bioservices Inc,CDMO,$13.83,$861.74,Healthcare,
392,Caredx Inc,CDNA,$12.42,$664.93,Healthcare,
